monitoring_location_name,year,activity_start_date,activity_depth_height_unit,characteristic_name,characteristic_name_long,method_speciation,result_sample_fraction,result_value,result_unit,result_detection_quantitation_limit_measure,result_detection_quantitation_limit_unit,result_detection_quantitation_limit_type,result_status_id,result_comment,result_analytical_method_name,result_analytical_method_instrument,result_analytical_reference_method,activity_media_name,field_comment,update_date,update_account
375 LA CB,1982,1982-07-08,epi,NA,,as Na,Filterable,1.34000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-07-08,epi,NO3,,as NO3-N,Filterable,0.00000,ug/L,1,"",Method Detection Level,"","","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-07-08,epi,PARTC,,as C,Non-Filterable (Particle),430.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1982,1982-07-08,epi,PARTN,,as N,Non-Filterable (Particle),37.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1982,1982-07-08,epi,PARTP,,as P,Non-Filterable (Particle),2.00000,ug/L,1,"",Method Detection Level,"","","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1982,1982-07-08,epi,PH,,"",Unfiltered,7.33000,SU,#N/A,"",Method Detection Level,"","",pH (non in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-07-08,epi,SO4,,as SO4,Filterable,4.10000,mg/L,0.02,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-07-08,epi,TDN,,as N,Dissolved,175.00000,ug/L,5,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-07-08,epi,TDP,,as P,Dissolved,2.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-17,epi,ALK,,alkalinity,"",340.00000,ueq/L,,"",Method Detection Level,"","","","","The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-17,epi,CA,,as Ca,Filterable,5.43000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-17,epi,CHLA,,"",Filterable,2.30000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-17,epi,CL,,as Cl,Filterable,0.50000,mg/L,0.01,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-17,epi,COND,,"",Unfiltered,49.00000,uS/cm,1,"",Method Detection Level,"","","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-17,epi,DIC,,as Total CO2,Dissolved,294.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-17,epi,DOC,,as C,Filterable,490.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-17,epi,K,,as K,Filterable,0.54000,mg/L,0.02,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-17,epi,MG,,as Mg,Filterable,1.31000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-17,epi,MN,,as Mn,Filterable,0.00000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-17,epi,NA,,as Na,Filterable,1.41000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-17,epi,NO3,,as NO3-N,Filterable,0.00000,ug/L,1,"",Method Detection Level,"","","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-17,epi,PARTC,,as C,Non-Filterable (Particle),470.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1982,1982-08-17,epi,PARTN,,as N,Non-Filterable (Particle),29.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1982,1982-08-17,epi,PARTP,,as P,Non-Filterable (Particle),3.00000,ug/L,1,"",Method Detection Level,"","","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1982,1982-08-17,epi,PH,,"",Unfiltered,7.68000,SU,#N/A,"",Method Detection Level,"","",pH (non in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-17,epi,SO4,,as SO4,Filterable,4.20000,mg/L,0.02,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-17,epi,TDN,,as N,Dissolved,262.00000,ug/L,5,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-17,epi,TDP,,as P,Dissolved,4.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-08-19,epi,DOC,,as C,Filterable,440.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-09-29,epi,ALK,,alkalinity,"",352.00000,ueq/L,,"",Method Detection Level,"","","","","The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-09-29,epi,CA,,as Ca,Filterable,5.11000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-09-29,epi,CHLA,,"",Filterable,2.40000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-09-29,epi,CL,,as Cl,Filterable,0.40000,mg/L,0.01,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-09-29,epi,COND,,"",Unfiltered,49.00000,uS/cm,1,"",Method Detection Level,"","","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-09-29,epi,DIC,,as Total CO2,Dissolved,331.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-09-29,epi,DOC,,as C,Filterable,500.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-09-29,epi,K,,as K,Filterable,0.59000,mg/L,0.02,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-09-29,epi,MG,,as Mg,Filterable,1.31000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-09-29,epi,MN,,as Mn,Filterable,0.00000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-09-29,epi,NA,,as Na,Filterable,1.55000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-09-29,epi,NO3,,as NO3-N,Filterable,1.00000,ug/L,1,"",Method Detection Level,"","","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-09-29,epi,PARTC,,as C,Non-Filterable (Particle),570.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1982,1982-09-29,epi,PARTN,,as N,Non-Filterable (Particle),46.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1982,1982-09-29,epi,PARTP,,as P,Non-Filterable (Particle),2.00000,ug/L,1,"",Method Detection Level,"","","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1982,1982-09-29,epi,PH,,"",Unfiltered,7.27000,SU,#N/A,"",Method Detection Level,"","",pH (non in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-09-29,epi,SO4,,as SO4,Filterable,4.20000,mg/L,0.02,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-09-29,epi,TDN,,as N,Dissolved,221.00000,ug/L,5,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1982,1982-09-29,epi,TDP,,as P,Dissolved,5.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-05-30,epi,ALK,,alkalinity,"",360.00000,ueq/L,,"",Method Detection Level,"","","","","The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-05-30,epi,CA,,as Ca,Filterable,5.50000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-05-30,epi,CHLA,,"",Filterable,1.00000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-05-30,epi,CL,,as Cl,Filterable,0.30000,mg/L,0.01,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-05-30,epi,COND,,"",Unfiltered,54.00000,uS/cm,1,"",Method Detection Level,"","","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-05-30,epi,DIC,,as Total CO2,Dissolved,331.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-05-30,epi,DOC,,as C,Filterable,430.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-05-30,epi,K,,as K,Filterable,0.55000,mg/L,0.02,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-05-30,epi,MG,,as Mg,Filterable,1.34000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-05-30,epi,MN,,as Mn,Filterable,0.00000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-05-30,epi,NA,,as Na,Filterable,1.38000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-05-30,epi,NO3,,as NO3-N,Filterable,2.00000,ug/L,1,"",Method Detection Level,"","","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-05-30,epi,PARTC,,as C,Non-Filterable (Particle),450.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1983,1983-05-30,epi,PARTN,,as N,Non-Filterable (Particle),35.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1983,1983-05-30,epi,PARTP,,as P,Non-Filterable (Particle),3.00000,ug/L,1,"",Method Detection Level,"","","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1983,1983-05-30,epi,PH,,"",Unfiltered,7.49000,SU,#N/A,"",Method Detection Level,"","",pH (non in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-05-30,epi,SO4,,as SO4,Filterable,4.50000,mg/L,0.02,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-05-30,epi,TDN,,as N,Dissolved,190.00000,ug/L,5,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-05-30,epi,TDP,,as P,Dissolved,3.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-06-06,epi,CHLA,,"",Filterable,0.90000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Experimental Water,,,
375 LA CB,1983,1983-06-06,epi,DIC,,as Total CO2,Dissolved,304.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Experimental Water,,,
375 LA CB,1983,1983-06-06,epi,PARTC,,as C,Non-Filterable (Particle),370.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Experimental Water,,2022-02-01,chay
375 LA CB,1983,1983-06-06,epi,PARTN,,as N,Non-Filterable (Particle),37.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Experimental Water,,2022-02-01,chay
375 LA CB,1983,1983-06-27,epi,ALK,,alkalinity,"",360.00000,ueq/L,,"",Method Detection Level,"","","","","The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-06-27,epi,CA,,as Ca,Filterable,5.21000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-06-27,epi,CHLA,,"",Filterable,0.60000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-06-27,epi,CL,,as Cl,Filterable,0.50000,mg/L,0.01,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-06-27,epi,COND,,"",Unfiltered,50.00000,uS/cm,1,"",Method Detection Level,"","","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-06-27,epi,DIC,,as Total CO2,Dissolved,322.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-06-27,epi,DOC,,as C,Filterable,440.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-06-27,epi,K,,as K,Filterable,0.55000,mg/L,0.02,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-06-27,epi,MG,,as Mg,Filterable,1.22000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-06-27,epi,MN,,as Mn,Filterable,0.00000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-06-27,epi,NA,,as Na,Filterable,1.58000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-06-27,epi,NO3,,as NO3-N,Filterable,0.00000,ug/L,1,"",Method Detection Level,"","","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-06-27,epi,PARTC,,as C,Non-Filterable (Particle),780.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1983,1983-06-27,epi,PARTN,,as N,Non-Filterable (Particle),81.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1983,1983-06-27,epi,PARTP,,as P,Non-Filterable (Particle),2.00000,ug/L,1,"",Method Detection Level,"","","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1983,1983-06-27,epi,PH,,"",Unfiltered,7.40000,SU,#N/A,"",Method Detection Level,"","",pH (non in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-06-27,epi,SO4,,as SO4,Filterable,4.50000,mg/L,0.02,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-06-27,epi,TDN,,as N,Dissolved,297.00000,ug/L,5,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-06-27,epi,TDP,,as P,Dissolved,3.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-07-04,epi,CHLA,,"",Filterable,0.70000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Experimental Water,,,
375 LA CB,1983,1983-07-04,epi,DIC,,as Total CO2,Dissolved,324.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Experimental Water,,,
375 LA CB,1983,1983-07-04,epi,PARTC,,as C,Non-Filterable (Particle),350.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Experimental Water,,2022-02-01,chay
375 LA CB,1983,1983-07-04,epi,PARTN,,as N,Non-Filterable (Particle),36.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Experimental Water,,2022-02-01,chay
375 LA CB,1983,1983-07-25,epi,ALK,,alkalinity,"",366.00000,ueq/L,,"",Method Detection Level,"","","","","The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-07-25,epi,CA,,as Ca,Filterable,5.95000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-07-25,epi,CHLA,,"",Filterable,0.90000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-07-25,epi,CL,,as Cl,Filterable,0.20000,mg/L,0.01,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-07-25,epi,COND,,"",Unfiltered,52.00000,uS/cm,1,"",Method Detection Level,"","","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-07-25,epi,DIC,,as Total CO2,Dissolved,328.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-07-25,epi,DOC,,as C,Filterable,410.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-07-25,epi,K,,as K,Filterable,0.59000,mg/L,0.02,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-07-25,epi,MG,,as Mg,Filterable,1.25000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-07-25,epi,MN,,as Mn,Filterable,0.00000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-07-25,epi,NA,,as Na,Filterable,1.57000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-07-25,epi,NO3,,as NO3-N,Filterable,0.00000,ug/L,1,"",Method Detection Level,"","","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-07-25,epi,PARTC,,as C,Non-Filterable (Particle),620.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1983,1983-07-25,epi,PARTN,,as N,Non-Filterable (Particle),58.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1983,1983-07-25,epi,PARTP,,as P,Non-Filterable (Particle),10.00000,ug/L,1,"",Method Detection Level,"","","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1983,1983-07-25,epi,PH,,"",Unfiltered,7.50000,SU,#N/A,"",Method Detection Level,"","",pH (non in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-07-25,epi,SO4,,as SO4,Filterable,4.80000,mg/L,0.02,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-07-25,epi,TDN,,as N,Dissolved,198.00000,ug/L,5,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-07-25,epi,TDP,,as P,Dissolved,7.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-08-01,epi,CHLA,,"",Filterable,0.90000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Experimental Water,,,
375 LA CB,1983,1983-08-01,epi,DIC,,as Total CO2,Dissolved,344.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Experimental Water,,,
375 LA CB,1983,1983-08-01,epi,PARTC,,as C,Non-Filterable (Particle),340.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Experimental Water,,2022-02-01,chay
375 LA CB,1983,1983-08-01,epi,PARTN,,as N,Non-Filterable (Particle),27.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Experimental Water,,2022-02-01,chay
375 LA CB,1983,1983-08-22,epi,ALK,,alkalinity,"",369.00000,ueq/L,,"",Method Detection Level,"","","","","The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-08-22,epi,CA,,as Ca,Filterable,5.52000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1983,1983-08-22,epi,CHLA,,"",Filterable,1.10000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
